PATHO,PLANT,DATE,MASS,START_DAY,DAYS,POSITION,TOTAL_MASS,MASS_plant,MASS_patho
Y,Y9,04/01/2016,0.059210526315789484,26/11/2015,39,3,4.56,0.059210526315789484,0.3126865766343158
Z,Z1,02/02/2016,0.04439746300211416,26/11/2015,11,8,4.73,0.05285412262156448,0.01746986579277387
Z,Z10,01/02/2016,0.03137254901960784,26/11/2015,11,8,5.1,0.05098039215686275,0.0033986928104575167
Z,Z11,08/01/2016,0.03294117647058824,26/11/2015,22,4,4.25,0.12470588235294118,0.11900122690000282
Z,Z12,01/02/2016,0.044226044226044224,26/11/2015,19,14,4.07,0.08845208845208845,0.06579749368210744
Z,Z13,15/12/2015,0.06739130434782609,26/11/2015,19,1,4.6,0.11956521739130435,0.08404670213797744
Z,Z14,07/12/2015,0.0356234096692112,26/11/2015,11,6,3.9299999999999997,0.050890585241730284,0.006791398493239536
Z,Z15,04/01/2016,0.01789709172259508,26/11/2015,22,10,4.47,0.05816554809843401,0.10214094694987247
Z,Z2,08/01/2016,0.07246376811594203,26/11/2015,13,4,3.45,0.07246376811594203,0.029386732808862084
Z,Z3,01/02/2016,0.05329949238578681,26/11/2015,19,13,3.9399999999999995,0.05329949238578681,0.07955394851478904
Z,Z4,04/01/2016,0.04319654427645789,26/11/2015,19,14,4.63,0.060475161987041046,0.05559143556730407
Z,Z5,02/02/2016,0.028517110266159697,26/11/2015,13,7,5.26,0.06463878326996199,0.036637161497447786
Z,Z6,04/01/2016,0.00894854586129754,26/11/2015,14,5,4.47,0.09843400447427293,0.0467288402271052
Z,Z7,08/01/2016,0.034926470588235295,26/11/2015,19,11,5.4399999999999995,0.08639705882352941,0.07600064902240325
Z,Z8,01/02/2016,0.07225433526011561,26/11/2015,19,6,3.46,0.07225433526011561,0.07080712759347545
Z,Z9,08/01/2016,0.05357142857142857,26/11/2015,19,1,3.36,0.07142857142857142,0.0934462880593025
